CCN,State,Provider Name,City,Ownership Type,ESRD Network,NPI,Chain Name,Modality,Alternate CCN(s)
172529,KS,NEWTON DIALYSIS CENTER,NEWTON,For Profit,12,1588623417,DAVITA,Hemodialysis,172529
172530,KS,PARSONS DIALYSIS CENTER,PARSONS,For Profit,12,1982663902,DAVITA,Hemodialysis and Peritoneal Dialysis,172530
172531,KS,FMC - NA,NEWTON,For Profit,12,1013022839,FRESENIUS MEDICAL CARE,Hemodialysis,172531
172532,KS,BMA LEAWOOD,LEAWOOD,For Profit,12,1588779300,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,172532
172533,KS,RENAL TREATMENT CENTERS-DERBY,DERBY,For Profit,12,1689633349,DAVITA,Hemodialysis,172533
172534,KS,SABETHA DIALYSIS,SABETHA,For Profit,12,1396895629,DAVITA,Hemodialysis and Peritoneal Dialysis,172534
172535,KS,FRESENIUS MEDICAL CARE-JUNCTION CITY,JUNCTION CITY,For Profit,12,1932257425,FRESENIUS MEDICAL CARE,Unavailable,172535
172536,KS,WYANDOTTE WEST DIALYSIS,KANSAS CITY,For Profit,12,1902865876,DAVITA,Hemodialysis,172536
172537,KS,PRATT DIALYSIS CENTER,PRATT,For Profit,12,1619936283,DAVITA,Hemodialysis and Peritoneal Dialysis,172537
172540,KS,FRESENIUS MEDICAL CARE WICHITA WEST,WICHITA,For Profit,12,1629184569,FRESENIUS MEDICAL CARE,Hemodialysis,172540
172541,KS,OLATHE DIALYSIS,OLATHE,For Profit,12,1851350581,DAVITA,Hemodialysis,172541
172542,KS,NE WICHITA DIALYSIS CENTER,WICHITA,For Profit,12,1831158542,DAVITA,Hemodialysis,172542
172543,KS,RENAL CARE GROUP - WICHITA EAST,WICHITA,For Profit,12,1053697144,FRESENIUS MEDICAL CARE,Hemodialysis,172543
172544,KS,WYANDOTTE CENTRAL DIALYSIS,KANSAS CITY,For Profit,12,1396837803,DAVITA,Hemodialysis and Peritoneal Dialysis,172544
172545,KS,LEAVENWORTH DIALYSIS,LEAVENWORTH,For Profit,12,1669569232,DAVITA,Hemodialysis and Peritoneal Dialysis,172545
172546,KS,DIALYSIS CENTER OF HUTCHINSON,HUTCHINSON,For Profit,12,1881898161,DAVITA,Hemodialysis and Peritoneal Dialysis,172546
172547,KS,RAI-PARALLEL PKWY-KANSAS CITY,KANSAS CITY,For Profit,12,1376740555,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,172547
172548,KS,MAIZE DIALYSIS CENTER,MAIZE,For Profit,12,1639379324,DAVITA,Hemodialysis and Peritoneal Dialysis,172548
172551,KS,RAI-RAINBOW BLVD-WESTWOOD,WESTWOOD,For Profit,12,1841512621,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,172551
172552,KS,FRESENIUS MEDICAL CARE DERBY,DERBY,For Profit,12,1649567629,FRESENIUS MEDICAL CARE,Hemodialysis,172552
172553,KS,PAOLA DIALYSIS,PAOLA,For Profit,12,1881966059,DAVITA,Hemodialysis,172553
172555,KS,NALL DIALYSIS,LEAWOOD,For Profit,12,1013271410,DAVITA,Hemodialysis and Peritoneal Dialysis,172555
172556,KS,FLINT HILLS DIALYSIS OF MARYSVILLE,MARYSVILLE,For Profit,12,1659640134,INDEPENDENT,Hemodialysis,172556
172557,KS,ANDOVER DIALYSIS,ANDOVER,For Profit,12,1679817258,DAVITA,Hemodialysis and Peritoneal Dialysis,172557
172558,KS,FRESENIUS MEDICAL CARE FORT SCOTT,FORT SCOTT,For Profit,12,1558777318,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,172558
172559,KS,LAWRENCE HOME TRAINING,LAWRENCE,For Profit,12,1922414952,DAVITA,Hemodialysis and Peritoneal Dialysis,172559
172560,KS,GARDNER DIALYSIS,GARDNER,For Profit,12,1457762692,DAVITA,Hemodialysis,172560
172561,KS,EMPORIA DIALYSIS,EMPORIA,For Profit,12,1801205570,DAVITA,Hemodialysis and Peritoneal Dialysis,172561
172562,KS,"CONCERTO KANSAS, LLC",OVERLAND PARK,For Profit,12,1710368063,INDEPENDENT,Hemodialysis,172562
172563,KS,WANAMAKER DIALYSIS,TOPEKA,For Profit,12,1306237854,DAVITA,Hemodialysis,172563
172564,KS,MANHATTAN DIALYSIS,MANHATTAN,For Profit,12,1457704637,DAVITA,Hemodialysis and Peritoneal Dialysis,172564
172565,KS,NOTTINGHAM DIALYSIS,OLATHE,For Profit,12,1538538673,DAVITA,Hemodialysis,172565
172566,KS,MISSION DIALYSIS,KANSAS CITY,For Profit,12,1306381942,DAVITA,Hemodialysis,172566
172567,KS,HOPEFIELD DIALYSIS,PITTSBURG,For Profit,12,1558725259,DAVITA,Hemodialysis and Peritoneal Dialysis,172567
172568,KS,FRESENIUS KIDNEY CARE TOPEKA EAST,TOPEKA,For Profit,12,1982150595,FRESENIUS MEDICAL CARE,Hemodialysis,172568
172569,KS,FRESENIUS MEDICAL CARE GARDEN CITY,GARDEN CITY,For Profit,12,1871943712,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,172569
172570,KS,FRESENIUS KIDNEY CARE LENEXA,LENEXA,For Profit,12,1023565629,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,172570
172571,KS,OVERLAND PARK DIALYSIS,OVERLAND PARK,For Profit,12,1265947477,DAVITA,Hemodialysis and Peritoneal Dialysis,172571
172572,KS,AIR CAPITAL DIALYSIS,WICHITA,For Profit,12,1881148948,DAVITA,Hemodialysis,172572
172573,KS,FREE STATE DIALYSIS,LAWRENCE,For Profit,12,1962871012,DAVITA,Hemodialysis,172573
172574,KS,DAVITA WALNUT RIVER DIALYSIS,EL DORADO,For Profit,12,1639630957,DAVITA,Hemodialysis,172574
182305,KY,U OF KY MEDICAL CENTER ESRD,LEXINGTON,Non-profit,9,1548212988,INDEPENDENT,Hemodialysis and Peritoneal Dialysis,"180067,182305,182311"
182316,KY,T J SAMSON KIDNEY CARE,GLASGOW,Non-profit,9,1538116934,INDEPENDENT,Hemodialysis,"180017,182316"
182501,KY,UNIVERSITY OF LOUISVILLE DIALYSIS CENTER,LOUISVILLE,Non-profit,9,1972865038,AMERICAN RENAL ASSOCIATES,Hemodialysis and Peritoneal Dialysis,182501
182502,KY,"DIALYSIS CLINIC, INC",LEXINGTON,Non-profit,9,1942238597,"DIALYSIS CLINIC, INC.",Hemodialysis and Peritoneal Dialysis,182502
182503,KY,BMA OF LOUISVILLE,LOUISVILLE,For Profit,9,1598877326,FRESENIUS MEDICAL CARE,Hemodialysis,182503
182504,KY,DIALYSIS OF CENTRAL KENTUCKY,ELIZABETHTOWN,For Profit,9,1861452302,DAVITA,Hemodialysis and Peritoneal Dialysis,182504
182505,KY,FRESENIUS MEDICAL CARE BOWLING GREEN WARREN COUNTY,BOWLING GREEN,For Profit,9,1497740997,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182505
182507,KY,BMA OF PRESTONSBURG,PRESTONSBURG,For Profit,9,1275645087,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182507
182508,KY,"DIALYSIS CLINIC, INC",CORBIN,Non-profit,9,1679506158,"DIALYSIS CLINIC, INC.",Hemodialysis and Peritoneal Dialysis,182508
182509,KY,BMA OF MOREHEAD,MOREHEAD,For Profit,9,1801908611,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182509
182512,KY,"DIALYSIS CLINIC, INC",LEXINGTON,Non-profit,9,1841223229,"DIALYSIS CLINIC, INC.",Hemodialysis and Peritoneal Dialysis,182512
182513,KY,"DIALYSIS CLINIC, INC",DANVILLE,Non-profit,9,1922031301,"DIALYSIS CLINIC, INC.",Hemodialysis and Peritoneal Dialysis,182513
182514,KY,BMA OF WEST LOUISVILLE,LOUISVILLE,For Profit,9,1831201664,FRESENIUS MEDICAL CARE,Hemodialysis,182514
182516,KY,BMA OF SOMERSET,SOMERSET,For Profit,9,1295847028,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182516
182517,KY,FMC-NA OF HAZARD,HAZARD,For Profit,9,1992817704,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182517
182518,KY,TAYLOR COUNTY DIALYSIS CENTER,CAMPBELLSVILLE,For Profit,9,1932169372,DAVITA,Hemodialysis,182518
182519,KY,HOPKINSVILLE DIALYSIS,HOPKINSVILLE,For Profit,9,1417910522,DAVITA,Hemodialysis and Peritoneal Dialysis,182519
182521,KY,FMC DIALYSIS SERVICES OF AUDUBON,LOUISVILLE,For Profit,9,1710099528,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182521
182523,KY,FRESENIUS MEDICAL CARE SOUTH LOUISVILLE,LOUISVILLE,For Profit,9,1043312440,FRESENIUS MEDICAL CARE,Hemodialysis,182523
182524,KY,BMA OF ASHLAND,ASHLAND,For Profit,9,1497788863,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182524
182526,KY,FRESENIUS MEDICAL CARE GLASGOW,GLASGOW,For Profit,9,1235401142,FRESENIUS MEDICAL CARE,Hemodialysis,182526
182527,KY,BMA OF EAST LOUISVILLE,LOUISVILLE,For Profit,9,1467564278,FRESENIUS MEDICAL CARE,Hemodialysis,182527
182529,KY,CRESTVIEW HILLS DIALYSIS,CRESTVIEW HILLS,For Profit,9,1124081252,DAVITA,Hemodialysis,182529
182530,KY,DIALYSIS CLINIC INC,FRANKFORT,Non-profit,9,1174556559,"DIALYSIS CLINIC, INC.",Hemodialysis,182530
182532,KY,BMA OF CENTRAL RICHMOND,RICHMOND,For Profit,9,1669695649,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182532
182533,KY,"DIALYSIS CLINIC, INC",RICHMOND,Non-profit,9,1790718179,"DIALYSIS CLINIC, INC.",Hemodialysis,182533
182534,KY,BMA OF SUBURBAN,LOUISVILLE,For Profit,9,1083726897,FRESENIUS MEDICAL CARE,Hemodialysis,182534
182535,KY,BMA OF SHELBYVILLE,SHELBYVILLE,For Profit,9,1174635981,FRESENIUS MEDICAL CARE,Hemodialysis,182535
182536,KY,DIALYSIS SPECIALIST OF CENTRAL CITY,CENTRAL CITY,For Profit,9,1053413252,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182536
182537,KY,UNIVERSITY KIDNEY CENTER 3RD STREET,LOUISVILLE,For Profit,9,1518912930,AMERICAN RENAL ASSOCIATES,Hemodialysis,182537
182538,KY,EASTERN KENTUCKY DIALYSIS,PIKEVILLE,For Profit,9,1912967332,DAVITA,Hemodialysis and Peritoneal Dialysis,182538
182540,KY,FMC-NA OF PIKE COUNTY,PIKEVILLE,For Profit,9,1366554198,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182540
182541,KY,"DIALYSIS CLINIC, INC",MAYSVILLE,Non-profit,9,1689607061,"DIALYSIS CLINIC, INC.",Hemodialysis and Peritoneal Dialysis,182541
182542,KY,SOUTH HILL DIALYSIS,SOUTHGATE,For Profit,9,1013970110,DAVITA,Hemodialysis,182542
182543,KY,FRESENIUS MEDICAL CARE ROCKFORD LANE,VALLEY STATION,For Profit,9,1144332966,FRESENIUS MEDICAL CARE,Hemodialysis,182543
182544,KY,GARDENSIDE DIALYSIS,HENDERSON,For Profit,9,1568778058,DAVITA,Hemodialysis,182544
182547,KY,OWENSBORO DIALYSIS CENTER,OWENSBORO,For Profit,9,1730149170,DAVITA,Hemodialysis and Peritoneal Dialysis,182547
182548,KY,PAINTSVILLE DIALYSIS CENTER,HAGERHILL,For Profit,9,1740240183,DAVITA,Hemodialysis and Peritoneal Dialysis,182548
182549,KY,CHRISTIAN COUNTY DIALYSIS,HOPKINSVILLE,For Profit,9,1184687824,DAVITA,Hemodialysis,182549
182550,KY,FMC DIALYSIS SERVICES OF DANVILLE,DANVILLE,For Profit,9,1699877894,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182550
182551,KY,RCG KUTTAWA,KUTTAWA,For Profit,9,1033279153,FRESENIUS MEDICAL CARE,Hemodialysis,182551
182552,KY,RCG PADUCAH,PADUCAH,For Profit,9,1265544084,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182552
182553,KY,RCG OF MURRAY,MURRAY,For Profit,9,1154433977,FRESENIUS MEDICAL CARE,Hemodialysis,182553
182554,KY,RCG MAYFIELD,MAYFIELD,For Profit,9,1083726806,FRESENIUS MEDICAL CARE,Hemodialysis,182554
182555,KY,FMC DIALYSIS SVCS MT STERLING,MOUNT STERLING,For Profit,9,1861504680,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182555
182556,KY,RENAL CARE GROUP-LEXINGTON SOUTH,LEXINGTON,For Profit,9,1891807616,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182556
182558,KY,KY RENAL CARE GROUP LEXINGTON EAST,LEXINGTON,For Profit,9,1700998523,FRESENIUS MEDICAL CARE,Hemodialysis,182558
182559,KY,RCG PADUCAH SOUTH,PADUCAH,For Profit,9,1134221534,FRESENIUS MEDICAL CARE,Hemodialysis,182559
182560,KY,FMC OF PAINTSVILLE,PAINTSVILLE,For Profit,9,1215049036,FRESENIUS MEDICAL CARE,Hemodialysis,182560
182561,KY,CALDWELL COUNTY DIALYSIS CENTER,PRINCETON,For Profit,9,1154300564,FRESENIUS MEDICAL CARE,Hemodialysis,182561
182562,KY,FMC-NA OF GREENUP,GREENUP,For Profit,9,1215960687,FRESENIUS MEDICAL CARE,Hemodialysis,182562
182563,KY,KENTUCKY RENAL CARE GROUP LEXINGTON NORTH,LEXINGTON,For Profit,9,1619089430,FRESENIUS MEDICAL CARE,Hemodialysis,182563
182565,KY,FMC-NA DIALYSIS SERVICES OF HARLAN,HARLAN,For Profit,9,1770695595,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182565
182566,KY,RAVEN ROCK DIALYSIS,JENKINS,For Profit,9,1235194184,DAVITA,Hemodialysis,182566
182567,KY,FRESENIUS MEDICAL CARE SOUTH CENTRAL LOUISVILLE,LOUISVILLE,For Profit,9,1588776306,FRESENIUS MEDICAL CARE,Hemodialysis,182567
182568,KY,BARDSTOWN DIALYSIS CENTER,BARDSTOWN,For Profit,9,1982664306,DAVITA,Hemodialysis,182568
182569,KY,FRESENIUS MEDICAL CARE NALCO HOME PROGRAM,LEXINGTON,For Profit,9,1235237413,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182569
182570,KY,LOUISVILLE DIALYSIS,LOUISVILLE,For Profit,9,1265495360,DAVITA,Hemodialysis and Peritoneal Dialysis,182570
182572,KY,LAGRANGE DIALYSIS,LA GRANGE,For Profit,9,1508821471,DAVITA,Hemodialysis,182572
182573,KY,FRESENIUS MEDICAL CARE OF JACKSON,JACKSON,For Profit,9,1013019215,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182573
182574,KY,LEITCHFIELD DIALYSIS,LEITCHFIELD,For Profit,9,1528062460,DAVITA,Hemodialysis,182574
182575,KY,FMC DIALYSIS SERVICES OF OLDHAM COUNTY,LAGRANGE,For Profit,9,1669584488,FRESENIUS MEDICAL CARE,Hemodialysis,182575
182576,KY,FRESENIUS MEDICAL CARE OF BARDSTOWN,BARDSTOWN,For Profit,9,1295847010,FRESENIUS MEDICAL CARE,Hemodialysis,182576
182577,KY,SPRINGHURST DIALYSIS CENTER,LOUISVILLE,For Profit,9,1730123068,DAVITA,Hemodialysis,182577
182578,KY,FMC OF GRAYSON,GRAYSON,For Profit,9,1831201656,FRESENIUS MEDICAL CARE,Hemodialysis,182578
182580,KY,LOUISA  DIALYSIS,LOUISA,For Profit,9,1891910865,DAVITA,Hemodialysis and Peritoneal Dialysis,182580
182581,KY,WEST BROADWAY DIALYSIS,LOUISVILLE,For Profit,9,1588805063,DAVITA,Hemodialysis and Peritoneal Dialysis,182581
182582,KY,TURFWAY  DIALYSIS,FLORENCE,For Profit,9,1841379922,DAVITA,Hemodialysis,182582
182583,KY,COLD SPRING DIALYSIS,COLD SPRING,For Profit,9,1437220233,DAVITA,Hemodialysis,182583
182584,KY,"FRESENIUS MEDICAL CARE NAK FRANKFORT, LLC",FRANKFORT,For Profit,9,1396152450,FRESENIUS MEDICAL CARE,Hemodialysis,182584
182586,KY,TURFWAY PD TRAINING,FLORENCE,For Profit,9,1225249626,DAVITA,Peritoneal Dialysis,182586
182587,KY,GEORGETOWN DIALYSIS CLINIC,GEORGETOWN,For Profit,9,1588878490,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182587
182588,KY,FMC-NICHOLASVILLE,NICHOLASVILLE,For Profit,9,1033300264,FRESENIUS MEDICAL CARE,Hemodialysis,182588
182589,KY,MAYSVILLE DIALYSIS,MAYSVILLE,For Profit,9,1083823710,DAVITA,Hemodialysis and Peritoneal Dialysis,182589
182590,KY,FRESENIUS MEDICAL CARE NORTH EAST LOUISVILLE,LOUISVILLE,For Profit,9,1538352141,FRESENIUS MEDICAL CARE,Hemodialysis,182590
182591,KY,FRESENIUS MEDICAL CARE BOONE COUNTY,FLORENCE,For Profit,9,1851589857,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182591
182592,KY,MEADOWS EAST DIALYSIS,LOUISVILLE,For Profit,9,1841406220,DAVITA,Hemodialysis,182592
182594,KY,FRESENIUS MEDICAL CARE MADISONVILLE,MADISONVILLE,For Profit,9,1588832471,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182594
182595,KY,WILLIAMSTOWN DIALYSIS,WILLIAMSTOWN,For Profit,9,1194998013,DAVITA,Hemodialysis,182595
182596,KY,FRESENIUS MEDICAL CARE LEBANON MARION COUNTY,LEBANON,For Profit,9,1811129125,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182596
182597,KY,MADISONVILLE DIALYSIS CENTER,MADISONVILLE,For Profit,9,1336396506,DAVITA,Hemodialysis and Peritoneal Dialysis,182597
182598,KY,SOUTH WILLIAMSON DIALYSIS,SOUTH WILLIAMSON,For Profit,9,1932351848,DAVITA,Hemodialysis and Peritoneal Dialysis,182598
182599,KY,FRESENIUS MEDICAL CARE OF HARDIN COUNTY,ELIZABETHTOWN,For Profit,9,1144468117,FRESENIUS MEDICAL CARE,Hemodialysis,182599
182600,KY,SHEPHERDSVILLE DIALYSIS CENTER,BROOKS,For Profit,9,1033355458,DAVITA,Hemodialysis,182600
182601,KY,HAMBURG DIALYSIS,LEXINGTON,For Profit,9,1770819617,DAVITA,Hemodialysis and Peritoneal Dialysis,182601
182602,KY,FRESENIUS MEDICAL CARE-WINCHESTER,WINCHESTER,For Profit,9,1720228059,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182602
182603,KY,BOURBON COUNTY DIALYSIS,PARIS,For Profit,9,1629201389,DAVITA,Hemodialysis,182603
182604,KY,12TH STREET COVINGTON DIALYSIS,COVINGTON,For Profit,9,1255566444,DAVITA,Hemodialysis,182604
182605,KY,FRESENIUS MEDICAL CARE SHEPHERDSVILLE,SHEPHERDSVILLE,For Profit,9,1043511389,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182605
182606,KY,VERSAILLES DIALYSIS,VERSAILLES,For Profit,9,1588897243,DAVITA,Hemodialysis,182606
182607,KY,FRESENIUS MEDICAL CARE OF CAMPBELLSVILLE,CAMPBELLSVILLE,For Profit,9,1942532924,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182607
182608,KY,FMC TRIGG COUNTY,CADIZ,For Profit,9,1407178825,FRESENIUS MEDICAL CARE,Hemodialysis,182608
182609,KY,FRESENIUS MEDICAL CARE CENTRAL ASHLAND,ASHLAND,For Profit,9,1174855712,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182609
182610,KY,BMA MASONIC HOME,MASONIC HOME,For Profit,9,1548576663,FRESENIUS MEDICAL CARE,Hemodialysis,182610
182611,KY,RADCLIFF DIALYSIS,RADCLIFF,For Profit,9,1144508839,DAVITA,Hemodialysis,182611
182612,KY,"AMERICAN HOME DIALYSIS, LLC",LOUISVILLE,For Profit,9,1154638013,INDEPENDENT,Peritoneal Dialysis,182612
182613,KY,FMC KENTUCKIANA HOME THERAPIES,LOUISVILLE,For Profit,9,1285941369,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182613
182614,KY,SHELBYVILLE ROAD DIALYSIS,LOUISVILLE,For Profit,9,1497048342,DAVITA,Hemodialysis,182614
182615,KY,DIALYSIS OF WARREN COUNTY,BOWLING GREEN,For Profit,9,1124303078,DAVITA,Hemodialysis and Peritoneal Dialysis,182615
182616,KY,GENERAL BUTLER DIALYSIS,CARROLLTON,For Profit,9,1558646935,DAVITA,Hemodialysis,182616
182617,KY,HI HAT HOME TRAINING,HI HAT,For Profit,9,1639456627,DAVITA,Unavailable,182617
182618,KY,FMC-NA LAKE CUMBERLAND,SOMERSET,For Profit,9,1265796122,FRESENIUS MEDICAL CARE,Hemodialysis,182618
182619,KY,"DIALYSIS SERVICES OF PINEVILLE, LLC",PINEVILLE,For Profit,9,1811247547,AMERICAN RENAL ASSOCIATES,Hemodialysis,182619
182620,KY,KUMAR DIALYSIS FLORENCE,FLORENCE,For Profit,9,1538404132,INDEPENDENT,Hemodialysis and Peritoneal Dialysis,182620
182621,KY,DIALYSIS SERVICES OF LONDON,LONDON,For Profit,9,1376895045,AMERICAN RENAL ASSOCIATES,Hemodialysis and Peritoneal Dialysis,182621
182622,KY,FRESENIUS MEDICAL CARE EDGEWOOD,CRESTVIEW HILLS,For Profit,9,1922348754,FRESENIUS MEDICAL CARE,Hemodialysis,182622
182623,KY,"UNIVERSITY KIDNEY CENTER HIKES LANE, LLC",LOUISVILLE,For Profit,9,1649603705,AMERICAN RENAL ASSOCIATES,Hemodialysis,182623
182624,KY,"UNIVERSITY KIDNEY CENTER BROADWAY, LLC",LOUISVILLE,For Profit,9,1871927293,AMERICAN RENAL ASSOCIATES,Hemodialysis,182624
182625,KY,"UNIVERSITY KIDNEY CENTER BLUEGRASS, LLC",LOUISVILLE,For Profit,9,1790118842,AMERICAN RENAL ASSOCIATES,Hemodialysis and Peritoneal Dialysis,182625
182626,KY,OWENSBORO HOME DIALYSIS,OWENSBORO,For Profit,9,1053745554,DAVITA,Peritoneal Dialysis,182626
182627,KY,KENTUCKY WILDCAT SPECIALITY DIALYSIS,LEXINGTON,For Profit,9,1710327820,DAVITA,Hemodialysis and Peritoneal Dialysis,182627
182628,KY,"FRESENIUS MEDICAL CARE NAK BEREA, LLC",BEREA,For Profit,9,1861896060,FRESENIUS MEDICAL CARE,Hemodialysis,182628
182629,KY,"FRESENIUS MEDICAL CARE HOPKINSVILLE, LLC",HOPKINSVILLE,For Profit,9,1487056875,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182629
182630,KY,PORTLAND DIALYSIS,LOUISVILLE,For Profit,9,1386038040,DAVITA,Hemodialysis,182630
182631,KY,"FRESENIUS KIDNEY CARE NORTH HARDIN, LLC",RADCLIFF,For Profit,9,1427418052,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,182631
182632,KY,BOWLING GREEN HOME THERAPIES,BOWLING GREEN,For Profit,9,1316930647,FRESENIUS MEDICAL CARE,Peritoneal Dialysis,182632
182633,KY,FRESENIUS KIDNEY CARE - LEXINGTON SOUTHWEST,LEXINGTON,For Profit,9,1518327048,FRESENIUS MEDICAL CARE,Peritoneal Dialysis,182633
182634,KY,FRESENIUS KIDNEY CARE - WAYNE COUNTY,MONTICELLO,For Profit,9,1770939241,FRESENIUS MEDICAL CARE,Hemodialysis,182634
182635,KY,SHELBY COUNTY DIALYSIS,SHELBYVILLE,For Profit,9,1215309778,DAVITA,Hemodialysis and Peritoneal Dialysis,182635
182636,KY,WALTON DIALYSIS,WALTON,For Profit,9,1477009280,DAVITA,Hemodialysis and Peritoneal Dialysis,182636
182637,KY,BRIDGEVIEW DIALYSIS,HENDERSON,For Profit,9,1780032169,DAVITA,Hemodialysis,182637
182638,KY,LOST RIVER DIALYSIS,BOWLING GREEN,For Profit,9,1467978791,DAVITA,Hemodialysis,182638
182639,KY,FRESENIUS KIDNEY CARE STANFORD,STANFORD,For Profit,9,1831615434,FRESENIUS MEDICAL CARE,Hemodialysis,182639
182640,KY,FRESENIUS KIDNEY CARE LOUISA,LOUISA,For Profit,9,1811414980,FRESENIUS MEDICAL CARE,Hemodialysis,182640
182641,KY,FRESENIUS KIDNEY CARE RED OAK,FRANKLIN,For Profit,9,1972022044,FRESENIUS MEDICAL CARE,Hemodialysis,182641
182642,KY,FRESENIUS KIDNEY CARE PLEASURE RIDGE PARK,LOUISVILLE,For Profit,9,1093213902,FRESENIUS MEDICAL CARE,Hemodialysis,182642
182643,KY,DCI ROCKCASTLE,MOUNT VERNON,Non-profit,9,1487757951,"DIALYSIS CLINIC, INC.",Hemodialysis,182643
192308,LA,WK RENAL DIALYSIS,SHREVEPORT,Non-profit,13,1003020579,INDEPENDENT,Hemodialysis,"190111,192308"
192322,LA,LADY OF THE SEA DIALYSIS CENTER,CUT OFF,Non-profit,13,1497737258,INDEPENDENT,Hemodialysis,"190048,192322"
192325,LA,CHILDREN'S HOSPITAL,NEW ORLEANS,Non-profit,13,1568597649,INDEPENDENT,Hemodialysis and Peritoneal Dialysis,"192325,193300"
192501,LA,BMA BATON ROUGE,BATON ROUGE,For Profit,13,1134569007,FRESENIUS MEDICAL CARE,Hemodialysis,192501
192503,LA,MERVIN W PERDUE KIDNEY CENTER,ALEXANDRIA,For Profit,13,1659483493,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,192503
192504,LA,FMC DIALYSIS SERVICES WEST LAFAYETTE,LAFAYETTE,For Profit,13,1558473322,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,192504
192505,LA,FLORIDA PARISHES ARTIFICIAL KIDNEY CENTER,HAMMOND,For Profit,13,1669584405,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,192505
192507,LA,WESTBANK CHRONIC RENAL CENTER,NEW ORLEANS,For Profit,13,1265491252,DAVITA,Hemodialysis and Peritoneal Dialysis,192507
192509,LA,HOUMA DIALYSIS,HOUMA,For Profit,13,1528014552,DAVITA,Unavailable,192509
192510,LA,NORTHERN LOUISIANA DIALYSIS CENTER,MONROE,For Profit,13,1982716718,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,192510
192511,LA,EAST JEFFERSON ARTIFICIAL KIDNEY,METAIRIE,For Profit,13,1578675310,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,192511
192512,LA,SHREVEPORT REGIONAL DIALYSIS CENTER,SHREVEPORT,For Profit,13,1427160274,FRESENIUS MEDICAL CARE,Hemodialysis,192512
192515,LA,CHALMETTE DIALYSIS CENTER,CHALMETTE,For Profit,13,1992733547,INDEPENDENT,Hemodialysis,192515
192516,LA,FRESENIUS MEDICAL CARE NEW ORLEANS EAST FERNCREST,NEW ORLEANS,For Profit,13,1104957935,FRESENIUS MEDICAL CARE,Hemodialysis,192516
192518,LA,OPELOUSAS ARTIFICIAL KIDNEY CENTER,OPELOUSAS,For Profit,13,1336251180,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,192518
192521,LA,BMA MARRERO,MARRERO,For Profit,13,1396857132,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,192521
